library_index,id,name,status,cuisine,family_id,form,staples,core_ingredients,unknown_role,optional_ingredients,generation_optional_ingredients,liquid_ingredients,substitution_slots,discouraged,technique,ratio_rules,safety_rules,total_time_minutes,purposes,source_count,static_status,verification_status,missing_fields
11,basic-risotto,基础意式烩饭,approved,意大利风味,family-risotto,烩饭,,意式烩饭米｜洋葱｜高汤｜黄油,意式烩饭米｜高汤｜黄油,白葡萄酒｜橄榄油｜帕玛森奶酪｜黑胡椒｜香草,白葡萄酒｜帕玛森奶酪｜黑胡椒｜香草,高汤,"{""slot"":""烩饭米"",""replaces"":[""意式烩饭米""],""allowed"":[""阿博里奥米"",""卡纳罗利米""]}｜{""slot"":""白葡萄酒"",""replaces"":[""白葡萄酒""],""allowed"":[""不放白葡萄酒""]}","{""ingredients"":[""一次倒入全部高汤"",""未焯水的大块土豆""],""reason_type"":""timing"",""reason"":""液体和难熟配料失控会破坏逐次吸收的烩饭节奏。""}",洋葱轻炒｜米粒短炒｜分次添汤｜黄油收尾,原始来源约400克米准备至少1升热高汤；生产版每1份使用意式烩饭米100克、高汤250克，按份数同比缩放｜每次只添少量高汤，吸收后再续；不得把1升原量直接套到2份,高汤全程保持热而不过度沸腾｜含酒版本需充分加热挥发并明确不适用人群,35,fresh｜pantry,1,complete,pending,
12,rice-cabbage-minestrone,米粒卷心菜杂蔬汤,approved,意大利风味,family-minestrone,浓汤,大米,卷心菜｜高汤,高汤,火腿｜番茄酱,火腿｜番茄酱,高汤,"{""slot"":""汤底"",""replaces"":[""高汤""],""allowed"":[""蔬菜高汤"",""鸡高汤""]}｜{""slot"":""咸鲜配料"",""replaces"":[""火腿""],""allowed"":[""白豆"",""不放肉""]}","{""ingredients"":[""大量生米"",""大量面条""],""reason_type"":""texture_water"",""reason"":""淀粉主食过多会吸干汤汁，让汤变成稠饭。""}",高汤煮生米至半熟｜加入卷心菜煮软｜火腿番茄同锅调味｜煮至米粒熟透,高汤应能没过卷心菜并满足生米吸水｜生米只作少量增稠，不占汤体主体,火腿加入后要再次煮透｜生米必须煮至熟透无硬芯,30,pantry｜quick｜batch,1,complete,pending,
13,shanghai-salted-pork-vegetable-rice,上海奉贤咸肉菜饭,auto_approved,上海本帮,family-jiangnan-vegetable-rice,焖饭,大米,咸五花肉｜小白菜,,香葱,香葱,水,"{""slot"":""叶菜"",""replaces"":[""小白菜""],""allowed"":[""菜心""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",咸肉与米同锅起香后加入量好的液体。｜米饭接近熟透时再加入叶菜并焖至软化。,每100克精白米使用125至140克可用总液体。｜咸肉先试味，再决定是否补盐。,咸肉中心必须彻底熟透后才可食用。｜未尝咸肉前不得额外加盐，避免盐度失控。｜叶菜后段加入，避免长时间受热而大量出水。,40,pantry｜fresh｜batch,1,complete,pending,
14,suzhou-salted-pork-vegetable-rice,苏州青菜咸肉饭,auto_approved,苏帮,family-jiangnan-vegetable-rice,焖饭,大米,咸五花肉｜小白菜,,鲜香菇,鲜香菇,水,"{""slot"":""叶菜"",""replaces"":[""小白菜""],""allowed"":[""菜心""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先将咸肉充分加热，再与米和量定液体同锅完成主体焖煮。｜叶菜在后段加入，并观察其出水对锅内湿度的影响。,米与可用液体以本轮试做记录校准，不预设公开标准配比。｜咸肉经加热和尝味后才决定是否补盐。,咸肉必须完全熟制、中心热透后才可食用。｜必须先尝咸肉与锅内底味，未尝味不得补盐。｜记录咸肉析出的脂肪，再决定是否添加其他油脂。｜叶菜后段加入；出现明显积液时停止把该轮作为口感依据。｜叶菜和可选食用菌必须有明确食品名称及可食用购买来源。,40,pantry｜fresh｜batch,1,complete,pending,
15,nanjing-cured-pork-greens-rice,南京矮脚黄腊肉菜饭,auto_approved,南京菜,family-jiangnan-vegetable-rice,焖饭,大米,腊五花肉｜矮脚黄,,鲜香菇,鲜香菇,水,"{""slot"":""青菜"",""replaces"":[""矮脚黄""],""allowed"":[""小油菜""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先将腊肉加热至完全熟制，再加入米和量定液体焖煮。｜青菜在后段加入，结束前检查锅内无过量游离水。,液体只以本轮米和青菜含水记录校准。｜腊肉尝味后才决定是否补盐。,腊肉必须完全熟制、中心热透后才可食用。｜必须先尝腊肉和锅内底味，再决定是否补盐。｜先记录腊肉出油，再决定是否补油。｜青菜必须后段加入并记录出水；锅内有明显积液时不得认定该轮合格。｜青菜和可选食用菌须记录明确食品名称与购买来源。,40,pantry｜fresh｜batch,1,complete,pending,
16,nanjing-sausage-greens-rice,南京矮脚黄香肠菜饭,auto_approved,南京菜,family-jiangnan-vegetable-rice,焖饭,大米,广式腊肠｜矮脚黄,,白胡椒,白胡椒,水,"{""slot"":""青菜"",""replaces"":[""矮脚黄""],""allowed"":[""小油菜""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",香肠切片后与米同锅加热，使其脂香进入米粒。｜米饭接近熟透时加入青菜并焖至断生。,每100克精白米使用125至140克可用总液体。｜除非香肠明显偏瘦，否则不另加食用油。,香肠中心必须彻底加热后才可食用。｜先观察香肠出油量，再决定是否补油。｜青菜后段加入并保持锅内无明显积水。,35,pantry｜fresh｜batch,1,complete,pending,
17,nanjing-duck-greens-rice,南京矮脚黄板鸭菜饭,auto_approved,南京菜,family-jiangnan-vegetable-rice,焖饭,大米,包装熟制板鸭（去骨）｜矮脚黄,包装熟制板鸭（去骨）,鲜香菇,鲜香菇,水,"{""slot"":""青菜"",""replaces"":[""矮脚黄""],""allowed"":[""小白菜""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先核对熟制鸭肉的包装或来源记录及可食部分，再将其在锅中彻底复热。｜米饭主体接近熟透时加入青菜，完成后检查锅内湿度。,液体以米、鸭肉附带汁液和青菜出水的实际记录确定。｜鸭肉尝味后才决定是否补盐。,必须留存熟制鸭可食部分的来源、熟制安全信息和去骨去不可食部分检查；无法证明时不得使用。｜鸭肉必须在同锅中彻底复热、热透后才可食用。｜必须先尝鸭肉和锅内底味，再决定是否补盐。｜记录鸭肉及其附带油脂的析出，再决定是否补油。｜青菜后段加入并记录出水，避免锅内残留明显积液。｜青菜和可选食用菌必须记录食品名称与购买来源。,35,pantry｜fresh｜batch,1,complete,pending,
18,jinshan-clay-oven-vegetable-rice,金山土灶菜饭,auto_approved,上海本帮,family-jiangnan-vegetable-rice,菜饭,大米,小白菜,,鲜香菇,鲜香菇,水,"{""slot"":""叶菜"",""replaces"":[""小白菜""],""allowed"":[""菜心""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",米与量好的液体先完成主体焖煮。｜叶菜在后段加入，新鲜食用菌仅在确认可食用且状态良好后使用。,每100克大米先预留120至140克可用总液体，并按叶菜出水情况记录调整。,叶菜必须后段加入，避免长时间受热出水。｜不得把叶菜出的水另行汇入锅中，起锅前检查无积液。,35,pantry｜fresh,1,complete,pending,
19,taiwan-cabbage-mushroom-rice,高丽菜香菇炊饭,auto_approved,台湾家常,family-southern-savory-rice,炊饭,大米,卷心菜｜鲜香菇,,老豆腐｜番茄｜玉米｜植物油,老豆腐｜番茄｜玉米｜植物油,水,"{""slot"":""叶菜"",""replaces"":[""卷心菜""],""allowed"":[""白菜"",""大白菜""]}｜{""slot"":""鲜菇或虾仁"",""replaces"":[""鲜香菇""],""allowed"":[""白玉菇"",""平菇"",""金针菇"",""虾仁""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",先观察叶菜、番茄与鲜菇或虾仁的含水状态，再量定锅内液体。｜大米、番茄和计量水先同锅炊煮；使用鲜菇时与大米同煮，使用虾仁替代时在米饭接近熟透后加入白菜、玉米和虾仁，加盖焖至虾仁完全熟透、中心不透明且米粒无硬芯。,不使用番茄时，每100克大米的总液体以120至145克为记录起点，必须在评估叶菜和鲜菇含水后才最终确定。｜使用番茄虾仁杂蔬版本时，每100克大米配番茄100克、白菜60克、玉米50克、虾仁80克和水80克，按份数同比缩放，不得再加其他汤水。,未评估叶菜、番茄和鲜菇出水前不得固定加液量。｜若使用豆腐，必须加热至全程热透后再食用。｜若以虾仁替换鲜香菇，必须在米饭接近熟透时加入，并在同一口锅中加热至虾仁完全熟透、中心不透明后才可食用。,35,pantry｜fresh｜batch,1,complete,pending,
20,quanzhou-oil-rice,泉州浥饭（油饭）,auto_approved,闽南,family-southern-savory-rice,糯米饭,,泡发糯米｜猪肉末｜鲜香菇,泡发糯米,香葱,香葱,水,"{""slot"":""猪肉"",""replaces"":[""猪肉末""],""allowed"":[""去皮鸡腿肉"",""老豆腐""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",猪肉和香菇先在锅中加热出香。｜加入泡发糯米与量好的液体，焖至米粒软糯。,每100克泡发糯米使用90至110克高汤或清水。｜首轮试做排除干制海产，待过敏原审核后再单独评估。,猪肉必须完全熟制，中心不得留生。｜首轮不得加入干制海产或其他未审核海鲜。｜起锅前检查锅底无游离液体且糯米不夹生。,45,pantry｜fresh｜batch,1,complete,pending,
21,fujian-gai-cai-minced-pork-rice,福建盖菜肉末咸饭,auto_approved,闽菜,family-southern-savory-rice,咸饭,大米,芥菜｜猪肉末,,香菇,香菇,水,"{""slot"":""蛋白质"",""replaces"":[""猪肉末""],""allowed"":[""老豆腐"",""去皮鸡腿肉末""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",肉末或豆腐先在锅中加热至适宜熟制状态。｜加入米和量好的液体焖煮，芥菜在后段加入。,每100克大米使用125至145克可用总液体。｜芥菜尝味前不设定额外加盐量。,使用猪肉时必须彻底熟制，中心不得留生。｜必须先尝芥菜及锅内底味，再决定是否补盐。,35,pantry｜fresh,1,complete,pending,
22,fujian-hyacinth-bean-rice,福建扁豆饭,auto_approved,闽菜,family-southern-savory-rice,焖饭,大米,扁豆,扁豆,鲜香菇,鲜香菇,水,"{""slot"":""新鲜食用菌"",""replaces"":[""鲜香菇""],""allowed"":[""平菇"",""口蘑""]}","{""ingredients"":[""夹生豆类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先核对并记录扁豆的购买标签或品种说明。｜扁豆先充分加热，再与米和量好的液体同锅完成焖煮。,每100克大米使用125至145克可用总液体，并把豆类预处理产生的水分单独记录。,扁豆品种或商品标识必须留存记录，不明豆类不得替代。｜扁豆必须完全熟透后才可食用。,40,pantry｜fresh｜batch,1,complete,pending,
23,hainan-cai-bao-rice,海南定安菜包饭,auto_approved,海南菜,family-southern-savory-rice,包饭,大米,生菜｜胡萝卜,生菜,老豆腐,老豆腐,水,"{""slot"":""叶片包材"",""replaces"":[""生菜""],""allowed"":[""白菜叶""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",先核对叶片身份、可食性和食品级来源。｜将蔬菜馅完全加热后，与熟米饭包入清洁叶片中。,每100克生米使用125至145克可用总液体，叶片只作包材且不计入焖煮液体。,叶片必须确认物种身份、可食用性和食品级来源；无法确认时不得使用。｜蔬菜馅和可选豆腐必须完全加热熟透后再包制。,40,fresh｜batch,1,complete,pending,
24,daxi-lotus-leaf-oil-rice,大溪荷叶油饭,auto_approved,台湾客家,family-southern-savory-rice,荷叶包糯米饭,,糯米｜猪肉末｜食品级干荷叶,糯米｜食品级干荷叶,鲜香菇,鲜香菇,水,"{""slot"":""荷叶包材"",""replaces"":[""食品级干荷叶""],""allowed"":[""食品级白菜叶""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先核对荷叶的食品级、清洁状态和植物身份；荷叶只作包材与增香。｜猪肉先加热至完全熟制，再与糯米包入荷叶蒸熟并检查湿度。,糯米吸水和蒸煮湿度只依据本轮记录校准。｜猪肉和油脂的盐度须经尝味后再决定是否补盐。,荷叶必须有明确植物身份、食品级和清洁购买来源；无法确认时不得使用，且仅作香气包材。｜猪肉必须完全熟制、中心热透后才可食用。｜必须先尝猪肉和锅内底味，再决定是否补盐。｜记录猪肉析出脂肪及任何额外油脂，再决定下一轮调整。｜必须记录糯米吸水、包裹后湿度和成品是否有明显积液。,45,pantry｜fresh｜batch,1,complete,pending,
25,cantonese-cured-meat-claypot-rice,广式腊味煲仔饭,auto_approved,粤菜,family-covered-pot-rice,加盖焖饭,大米,广式腊肠｜菜心,,鲜香菇,鲜香菇,水,"{""slot"":""叶菜"",""replaces"":[""菜心""],""allowed"":[""小白菜""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",仅使用普通带盖锅；先将腊味肉制品加热透。｜米饭主体完成后加入叶菜，并以锅底湿度记录下一轮调整。,以普通带盖锅的实际蒸发和食材含水记录校准液体。｜腊味尝味后才决定是否补盐。,腊味肉制品必须加热至完全熟透、中心热透后才可食用。｜只使用普通带盖锅，不得宣称或模拟煲仔锅复刻。｜必须先尝腊味和锅内底味，再决定是否补盐。｜先记录腊味出油，再决定是否添加其他油脂。｜叶菜后段加入；锅内有明显游离水时须记录为湿度问题。｜叶菜和可选食用菌必须记录食品名称与购买来源。,40,pantry｜fresh,1,complete,pending,
26,cantonese-mushroom-chicken-claypot-rice,广式香菇滑鸡煲仔饭,auto_approved,粤菜,family-covered-pot-rice,加盖焖饭,大米,去皮鸡腿肉｜鲜香菇,,小白菜,小白菜,水,"{""slot"":""食用菌"",""replaces"":[""鲜香菇""],""allowed"":[""平菇"",""白玉菇""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先核对鸡肉部位、可食部分和原料状态，再同锅加热。｜米饭完成前加入食用菌，并记录其出水和成品湿度。,液体只根据本轮米、鸡肉和食用菌含水记录校准。｜未完成鸡肉与食用菌记录时不得将该轮作为标准。,必须记录鸡肉部位、可食部分、购买来源和原始生熟状态；身份或可食性不明不得使用。｜鸡肉中心必须完全熟制、无生肉状态后才可食用，并留存检查记录。｜食用香菇须记录食品名称、来源、原始含水和加热出水；明显积液时不得认定该轮质地合格。｜成品仅限当餐食用；如需留存，必须记录冷却、冷藏和再次加热状态，未记录不得留存。,40,fresh｜batch,1,complete,pending,
27,cantonese-black-bean-pork-rib-claypot-rice,广式豆豉排骨煲仔饭,auto_approved,粤菜,family-covered-pot-rice,加盖焖饭,大米,猪肋排｜豆豉,豆豉,鲜香菇,鲜香菇,水,"{""slot"":""猪肉"",""replaces"":[""猪肋排""],""allowed"":[""去骨猪腿肉""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先逐块检查猪肋排骨片和可食部分，再加热至完全熟制。｜豆豉仅作为经记录的咸味来源加入，起锅前复核锅内湿度。,豆豉先尝味并记录盐度，再决定是否加入其他咸味配料。｜液体只按本轮排骨、米和配料含水记录调整。,必须记录肋排骨片检查和成品复查；发现碎骨、锐骨或不可食部分时不得食用。｜猪肉中心必须完全熟制、无生肉状态后才可食用，并留存检查记录。｜食品级豆豉必须记录来源和尝味结果；未尝味不得补加盐或其他高盐调味料。｜成品仅限当餐食用；留存必须记录冷却、冷藏和再次加热状态。,45,fresh｜batch,1,complete,pending,
28,xinjiang-lamb-pilaf,新疆羊肉抓饭,auto_approved,新疆菜,family-northwest-grain-rice,焖饭,大米,羊腿肉｜洋葱｜胡萝卜,,葡萄干,葡萄干,水,"{""slot"":""羊肉部位"",""replaces"":[""羊腿肉""],""allowed"":[""羊肩肉""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",羊肉块先加热至熟制，再加入洋葱与胡萝卜形成焖煮底味。｜量取可用焖煮液体后加入大米，焖至米粒熟透。,羊肉熟制后，每100克大米使用135至150克可用焖煮液体。｜水果或坚果仅可在完成过敏原审核后作为可选项加入。,试做前记录羊肉部位、可食部分、购买来源和原始生熟状态；身份或状态不明的羊肉不得使用。｜羊肉中心必须完全熟制、无生肉状态，并保留熟制检查记录。｜水果或坚果必须记录完整成分和过敏原信息；未完成审核时不得加入。｜成品仅限当餐食用；需保存时必须记录冷却、冷藏和再次加热处理。｜液体比例以羊肉熟制后的可用余液为基准，不得按生肉阶段估算。,50,pantry｜fresh｜batch,1,complete,pending,
